name,region,hemisphere,tissue,Y
36693,20,left,white,LW
36694,20,left,white,LW
36695,20,left,white,LW
36696,20,left,gray,LG
36698,20,left,gray,LG
36699,20,left,gray,LG
36707,61,right,white,RW
36708,55,right,white,RW
36711,37,right,gray,RG
36712,37,right,gray,RG
36713,37,right,white,RW
36714,37,right,white,RW
36715,37,right,white,RW
36716,37,right,white,RW
36717,37,right,white,RW
36718,37,right,white,RW
36719,47,right,gray,RG
36724,2,left,gray,LG
36725,2,left,gray,LG
36726,2,left,white,LW
36727,2,left,white,LW
36728,2,left,white,LW
36729,2,left,white,LW
36730,2,left,white,LW
36731,2,left,gray,LG
36732,20,left,gray,LG
36734,20,left,white,LW
36735,20,left,white,LW
36736,20,left,white,LW
36737,20,left,gray,LG
36738,26,left,gray,LG
36739,26,left,gray,LG
36740,26,left,gray,LG
36745,61,right,gray,RG
36747,61,right,gray,RG
36748,61,right,gray,RG
36749,61,right,white,RW
36750,61,right,gray,RG
36753,37,right,gray,RG
36754,37,right,gray,RG
36755,37,right,white,RW
36756,37,right,white,RW
36757,37,right,white,RW
36758,37,right,white,RW
36759,37,right,white,RW
36760,37,right,white,RW
36761,37,right,gray,RG
36766,2,left,gray,LG
36767,2,left,white,LW
36768,2,left,white,LW
36769,2,left,white,LW
36770,2,left,white,LW
36771,2,left,white,LW
36772,2,left,white,LW
36773,2,left,gray,LG
36774,20,left,gray,LG
36776,20,left,gray,LG
36777,20,left,gray,LG
36778,26,left,white,LW
36779,26,left,gray,LG
36780,26,left,gray,LG
36781,26,left,white,LW
36782,26,left,gray,LG
36786,61,right,gray,RG
36787,61,right,gray,RG
36788,61,right,white,RW
36789,61,right,gray,RG
36790,61,right,white,RW
36791,61,right,white,RW
36792,61,right,gray,RG
36794,37,right,gray,RG
36795,37,right,gray,RG
36796,37,right,white,RW
36797,37,right,white,RW
36798,37,right,white,RW
36799,37,right,white,RW
36800,37,right,white,RW
36801,37,right,white,RW
36802,37,right,white,RW
36803,37,right,gray,RG
36807,2,left,gray,LG
36809,2,left,gray,LG
36810,2,left,white,LW
36811,2,left,white,LW
36812,2,left,white,LW
36813,2,left,white,LW
36814,2,left,white,LW
36815,2,left,white,LW
36816,2,left,white,LW
36817,2,left,gray,LG
36822,26,left,white,LW
36823,26,left,white,LW
36824,26,left,white,LW
36825,26,left,gray,LG
36831,61,right,gray,RG
36838,37,right,gray,RG
36839,37,right,white,RW
36840,37,right,white,RW
36841,37,right,white,RW
36842,37,right,white,RW
36843,37,right,white,RW
36844,37,right,white,RW
36845,37,right,white,RW
36846,37,right,white,RW
36847,37,right,white,RW
36848,47,right,gray,RG
36851,47,right,gray,RG
36854,2,left,gray,LG
36855,2,left,white,LW
36856,2,left,white,LW
36857,2,left,white,LW
36858,2,left,white,LW
36859,2,left,white,LW
36860,2,left,white,LW
36861,2,left,white,LW
36862,2,left,gray,LG
36867,26,left,white,LW
36868,26,left,white,LW
36869,26,left,gray,LG
36876,61,right,gray,RG
36877,61,right,white,RW
36883,37,right,gray,RG
36884,37,right,gray,RG
36885,37,right,white,RW
36886,37,right,white,RW
36887,37,right,white,RW
36888,37,right,white,RW
36889,37,right,white,RW
36890,37,right,white,RW
36891,37,right,white,RW
36892,37,right,white,RW
36893,37,right,white,RW
36895,37,right,gray,RG
36896,47,right,white,RW
36897,2,left,gray,LG
36899,2,left,white,LW
36900,2,left,white,LW
36901,2,left,white,LW
36902,2,left,white,LW
36903,2,left,white,LW
36904,2,left,white,LW
36905,2,left,white,LW
36906,2,left,white,LW
36907,2,left,white,LW
36908,2,left,gray,LG
36909,2,left,gray,LG
36912,26,left,gray,LG
36913,26,left,white,LW
36914,26,left,gray,LG
36915,24,left,gray,LG
36928,37,right,gray,RG
36929,37,right,gray,RG
36930,37,right,white,RW
36931,37,right,white,RW
36932,37,right,white,RW
36933,37,right,white,RW
36934,37,right,white,RW
36935,62,right,white,RW
36936,62,right,white,RW
36937,37,right,white,RW
36938,37,right,white,RW
36939,37,right,white,RW
36940,37,right,gray,RG
36941,2,left,white,LW
36942,2,left,gray,LG
36943,2,left,white,LW
36944,2,left,white,LW
36945,2,left,white,LW
36946,2,left,white,LW
36947,2,left,white,LW
36948,2,left,white,LW
36949,2,left,white,LW
36950,2,left,white,LW
36951,2,left,white,LW
36952,2,left,white,LW
36953,2,left,gray,LG
36954,2,left,gray,LG
36957,26,left,gray,LG
36958,24,left,white,LW
36961,24,left,gray,LG
36962,24,left,gray,LG
36975,37,right,gray,RG
36976,37,right,white,RW
36977,37,right,white,RW
36978,37,right,white,RW
36979,37,right,white,RW
36980,37,right,white,RW
36981,37,right,white,RW
36982,62,right,white,RW
36983,37,right,white,RW
36984,37,right,white,RW
36985,37,right,white,RW
36986,37,right,gray,RG
36988,2,left,white,LW
36989,2,left,white,LW
36990,6,left,white,LW
36991,2,left,white,LW
36992,2,left,white,LW
36993,2,left,white,LW
36994,2,left,white,LW
36995,2,left,white,LW
36996,2,left,white,LW
36997,2,left,white,LW
36998,2,left,gray,LG
36999,2,left,gray,LG
37021,37,right,gray,RG
37022,37,right,white,RW
37023,37,right,white,RW
37024,37,right,white,RW
37025,37,right,white,RW
37026,37,right,white,RW
37027,37,right,white,RW
37028,37,right,white,RW
37029,41,right,white,RW
37030,37,right,white,RW
37031,37,right,white,RW
37032,37,right,gray,RG
37033,2,left,gray,LG
37034,2,left,white,LW
37035,2,left,white,LW
37036,6,left,white,LW
37037,2,left,white,LW
37038,2,left,white,LW
37039,2,left,white,LW
37040,2,left,white,LW
37041,2,left,white,LW
37042,2,left,white,LW
37043,2,left,white,LW
37044,2,left,gray,LG
37045,2,left,gray,LG
37058,67,right,gray,RG
37059,67,right,gray,RG
37065,71,right,gray,RG
37068,37,right,white,RW
37069,37,right,white,RW
37070,37,right,white,RW
37071,37,right,white,RW
37072,37,right,white,RW
37073,37,right,white,RW
37074,37,right,white,RW
37075,37,right,white,RW
37076,37,right,white,RW
37077,37,right,white,RW
37078,37,right,white,RW
37079,37,right,gray,RG
37081,2,left,gray,LG
37082,2,left,white,LW
37083,2,left,white,LW
37084,2,left,white,LW
